player_name,shots,actual_makes,expected_makes,actual_fg_pct,expected_fg_pct,makes_above_expected,fg_pct_above_expected
chris paul,885,425,374.00665,0.480225988700565,0.42260638,50.99334716796875,0.05761960990684856
kyle korver,478,235,189.36072,0.4916317991631799,0.39615214,45.6392822265625,0.09547966045315792
nikola vucevic,902,480,440.3304,0.532150776053215,0.4881712,39.669586181640625,0.043979586029792794
stephen curry,968,470,431.483,0.4855371900826446,0.4457469,38.516998291015625,0.039790291431521574
dirk nowtizski,816,377,342.86636,0.46200980392156865,0.42017937,34.133636474609375,0.041830436856138964
joe johnson,767,335,301.39993,0.4367666232073012,0.3929595,33.600067138671875,0.04380711788770586
james johnson,311,191,159.51921,0.6141479099678456,0.5129235,31.480789184570312,0.10122443088764543
anthony davis,841,457,426.00894,0.5434007134363853,0.5065505,30.991058349609375,0.03685022258021464
mo williams,559,233,203.72316,0.41681574239713776,0.36444214,29.276840209960938,0.05237360253316986
chris bosh,745,343,314.12637,0.4604026845637584,0.42164615,28.873626708984375,0.03875653659737349
kyrie irving,942,439,410.50192,0.46602972399150744,0.43577698,28.498077392578125,0.030252745260352043
lebron james,978,478,451.20517,0.4887525562372188,0.46135497,26.794830322265625,0.02739758530521197
deandre jordan,393,280,253.23935,0.712468193384224,0.6443749,26.760650634765625,0.06809328636746981
al jefferson,800,382,356.881,0.4775,0.44610128,25.118988037109375,0.03139872193336485
jarrett jack,612,273,248.1163,0.44607843137254904,0.40541878,24.883697509765625,0.040659647946264255
rudy gay,879,392,368.05582,0.4459613196814562,0.41872108,23.944183349609375,0.02724023985510121
dwayne wade,703,331,307.35922,0.47083926031294454,0.43721083,23.640777587890625,0.03362843224707235
carmelo anthony,792,349,325.73795,0.44065656565656564,0.41128528,23.262054443359375,0.029371284475230186
darren collison,550,260,237.89207,0.4727272727272727,0.43253106,22.107925415039062,0.04019621393897316
amare stoudemire,336,185,163.2207,0.5505952380952381,0.4857759,21.779296875,0.06481935012908213
wayne ellington,438,189,167.25076,0.4315068493150685,0.38185105,21.749237060546875,0.049655802037617935
wesley matthews,748,336,314.36853,0.44919786096256686,0.4202788,21.6314697265625,0.028919073349651825
al horford,715,387,365.78116,0.5412587412587413,0.511582,21.218841552734375,0.02967672431385604
derrick favors,677,369,350.08752,0.5450516986706057,0.517116,18.9124755859375,0.02793568848154926
ed davis,350,211,192.15234,0.6028571428571429,0.5490067,18.84765625,0.0538504423413958
james harden,1054,474,455.60648,0.4497153700189753,0.4322642,18.393524169921875,0.017451161225335188
marcus morris,537,242,223.82207,0.4506517690875233,0.41680086,18.177932739257812,0.033850912497252306
klay thompson,971,449,430.98782,0.4624098867147271,0.44385976,18.012176513671875,0.0185501307218377
jj redick,649,299,281.34738,0.46070878274268107,0.43350905,17.652618408203125,0.027199730942906897
alexis ajinca,211,126,109.139824,0.5971563981042654,0.51725036,16.86017608642578,0.07990603904588522
paul pierce,527,240,223.18791,0.45540796963946867,0.42350647,16.812088012695312,0.031901501104999064
kevin seraphin,336,173,156.29361,0.5148809523809523,0.46515957,16.706390380859375,0.04972138717060992
andre miller,174,95,78.3271,0.5459770114942529,0.45015576,16.672897338867188,0.0958212466760614
ben gordon,255,111,94.60392,0.43529411764705883,0.37099576,16.396080017089844,0.06429835768306957
khris middleton,562,265,249.06071,0.47153024911032027,0.44316852,15.939285278320312,0.028361728182891066
carlos boozer,620,319,303.31308,0.5145161290322581,0.48921466,15.686920166015625,0.025301470295075457
courtney lee,476,225,209.83867,0.4726890756302521,0.44083753,15.161331176757812,0.031851543348376476
cory joseph,346,175,159.9108,0.5057803468208093,0.46216995,15.089202880859375,0.04361040158078855
anthony morrow,413,183,167.94513,0.4430992736077482,0.4066468,15.05487060546875,0.036452485487478425
david west,513,245,229.95013,0.4775828460038986,0.44824588,15.04986572265625,0.029336963015922535
markieff morris,830,388,373.42972,0.4674698795180723,0.44991532,14.570281982421875,0.017554559836904682
