player_name,shots,avg_shot_dist,avg_def_dist,avg_touch_time,avg_dribbles,three_rate,makes_above_expected,cluster,archetype
kyle korver,478,22.01004184100418,5.002510460251045,1.0456066945606695,0.2928870292887029,0.7426778242677824,45.6392822265625,2,Catch-and-Shoot Specialists
wayne ellington,438,18.665296803652968,4.34703196347032,2.6095890410958904,1.9657534246575343,0.3949771689497717,21.749237060546875,2,Catch-and-Shoot Specialists
wesley matthews,748,18.522192513368985,4.870187165775401,2.1244652406417113,1.179144385026738,0.5922459893048129,21.6314697265625,2,Catch-and-Shoot Specialists
marcus morris,537,16.759404096834263,4.718808193668528,2.195530726256983,1.366852886405959,0.409683426443203,18.17793273925781,2,Catch-and-Shoot Specialists
klay thompson,971,16.79062821833162,4.1701338825952625,2.32173017507724,1.6086508753861999,0.4191555097837281,18.012176513671875,2,Catch-and-Shoot Specialists
jj redick,649,19.503697996918337,5.1084745762711865,1.423728813559322,0.7473035439137135,0.5069337442218799,17.652618408203125,2,Catch-and-Shoot Specialists
paul pierce,527,16.599620493358636,4.186337760910815,1.98292220113852,0.9487666034155597,0.43833017077798864,16.812088012695312,2,Catch-and-Shoot Specialists
courtney lee,476,16.421638655462186,4.70546218487395,1.8355042016806724,1.1428571428571428,0.3592436974789916,15.161331176757812,2,Catch-and-Shoot Specialists
anthony morrow,413,17.90508474576271,4.548426150121065,1.4300242130750607,0.7263922518159807,0.4891041162227603,15.05487060546875,2,Catch-and-Shoot Specialists
jose calderon,346,19.58150289017341,4.681502890173411,2.669942196531792,2.1878612716763004,0.3988439306358382,14.280258178710938,2,Catch-and-Shoot Specialists
jared dudley,359,17.84623955431755,5.757381615598886,1.2423398328690807,0.403899721448468,0.45125348189415043,14.236419677734377,2,Catch-and-Shoot Specialists
rasual butler,407,18.07125307125307,4.188206388206388,1.545208845208845,0.7297297297297297,0.4668304668304668,13.34136962890625,2,Catch-and-Shoot Specialists
channing frye,412,22.0623786407767,5.65242718446602,1.0854368932038834,0.22330097087378642,0.7257281553398058,10.982650756835938,2,Catch-and-Shoot Specialists
luke babbitt,156,19.69551282051282,5.990384615384615,1.4166666666666667,0.5576923076923077,0.6602564102564102,10.76192855834961,2,Catch-and-Shoot Specialists
marvin williams,318,19.39685534591195,5.817610062893082,1.1625786163522012,0.2893081761006289,0.5471698113207547,9.866806030273438,2,Catch-and-Shoot Specialists
time hardaway jr,595,18.112605042016806,4.269915966386555,1.9946218487394958,1.4134453781512606,0.4823529411764706,9.730178833007812,2,Catch-and-Shoot Specialists
alan anderson,337,16.616913946587538,4.105637982195845,2.2504451038575666,1.28486646884273,0.516320474777448,9.316680908203123,2,Catch-and-Shoot Specialists
pablo prigioni,174,21.30977011494253,5.61264367816092,2.4735632183908045,1.9080459770114941,0.7298850574712644,9.179866790771484,2,Catch-and-Shoot Specialists
patrick patterson,405,16.577283950617286,5.456543209876544,1.1069135802469137,0.49382716049382713,0.5259259259259259,8.806900024414062,2,Catch-and-Shoot Specialists
