player_name,shots,fgm,points,expected_makes,fg_pct,efg_pct,expected_fg_pct,shot_quality_adjusted,fg_rank,efg_rank,adjusted_rank,rank_shift_vs_fg,rank_shift_vs_efg
robert covington,510,202,517,200.28374,0.396078431372549,0.5068627450980392,0.3927132101619945,0.003365221210554492,227.0,91.0,117.0,110.0,-26.0
jarrett jack,612,273,572,248.1163,0.44607843137254904,0.4673202614379085,0.4054187949186836,0.040659636453865444,132.0,201.0,23.0,109.0,178.0
alan anderson,337,146,352,136.68332,0.4332344213649852,0.5222551928783383,0.4055884839519195,0.027645937413065702,161.0,72.0,53.0,108.0,19.0
gerald green,630,257,627,251.71469,0.40793650793650793,0.4976190476190476,0.39954712882874505,0.008389379107762884,207.0,116.0,99.0,108.0,17.0
anthony morrow,413,183,444,167.94513,0.4430992736077482,0.5375302663438256,0.406646802408066,0.0364524711996822,138.0,48.0,31.0,107.0,17.0
shawne williams,238,102,263,96.5328,0.42857142857142855,0.5525210084033614,0.4055999948197052,0.022971433751723336,171.0,25.0,65.0,106.0,-40.0
gary neal,459,168,384,170.3993,0.3660130718954248,0.41830065359477125,0.37124032080822783,-0.0052272489128030175,253.0,255.0,149.0,104.0,106.0
steve blake,247,93,241,93.980095,0.3765182186234818,0.48785425101214575,0.38048621420918205,-0.003967995585700268,247.0,154.0,143.0,104.0,11.0
marvin williams,318,140,341,130.1332,0.44025157232704404,0.5361635220125787,0.40922388040794516,0.031027691919098876,144.0,51.0,40.0,104.0,11.0
greivis vasquez,543,221,535,218.24188,0.40699815837937386,0.49263351749539597,0.4019187519783034,0.005079406401070463,209.0,136.0,107.0,102.0,29.0
danilo gallinai,351,129,322,130.85388,0.36752136752136755,0.4586894586894587,0.3728030821536681,-0.005281714632300538,252.0,219.0,150.0,102.0,69.0
carmelo anthony,792,349,758,325.73795,0.44065656565656564,0.47853535353535354,0.41128528479373816,0.029371280862827476,143.0,183.0,44.0,99.0,139.0
wesley johnson,472,197,463,191.19154,0.4173728813559322,0.4904661016949153,0.4050668296167406,0.012306051739191581,188.0,150.0,89.0,99.0,61.0
arron afflalo,688,295,679,280.87463,0.42877906976744184,0.4934593023255814,0.4082480142282885,0.020531055539153353,169.0,133.0,70.0,99.0,63.0
jordan farmar,158,61,157,61.777016,0.3860759493670886,0.49683544303797467,0.3909937701647795,-0.004917820797690875,237.0,119.0,146.0,91.0,-27.0
jeremy lin,515,226,506,212.46889,0.4388349514563107,0.4912621359223301,0.41256094627010015,0.026274005186210536,145.0,144.0,59.0,86.0,85.0
marcus thornton,316,130,312,128.92203,0.41139240506329117,0.4936708860759494,0.4079810999616792,0.003411305101611972,201.0,131.0,116.0,85.0,15.0
